ID,Title,Status,Priority,Work Type,Description,URL,Global ID,Assigned to,Teams Assigned to,Requested by,Requested on,Created by,Created on,Planned Start Date,Due date,Estimated Time,Started on,Completed on,Completed by,Last updated,Recurrence,Location,Location ID,Asset,Asset ID,Categories,Vendors,Vendor IDs,Procedure Name,Procedure Template ID,Procedure Passes,Procedure Flags,Procedure Failures,Procedure Score (%),Time to Complete,Time Open,Time In Progress,Time On Hold,Work Request ID,Thumbnail,Attachments,Procedure Description,Meter ID,Meter Condition,Parent,Parent ID,Total Estimated Time,Parent Global ID,Is Parent?,Total Parts Cost,Total Time Cost,Total Reported Time,Additional Costs,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3,Question 4,Answer 4,Question 5,Answer 5,Question 6,Answer 6,Question 7,Answer 7,Question 8,Answer 8,Question 9,Answer 9,Question 10,Answer 10,Question 11,Answer 11,Question 12,Answer 12,Question 13,Answer 13,Question 14,Answer 14,Question 15,Answer 15
33,Service/ Pump System,DONE,MEDIUM,PREVENTIVE,Call a septic service to pump out the system and clean.,https://app.getmaintainx.com/workorders/47883471?organizationId=342508,47883471,Daniel Crawford,,,,Daniel Crawford,2025-01-27 09:37:17,2025-12-11 14:30:53,2026-12-11,1:00:00,2025-01-30 14:34:30,2025-01-30 14:34:30,Daniel Crawford,2025-01-30 14:34:30,Yearly|1,Farmhouse,2652164,Composting Toilet,7699100,,,,,,0,0,0,,,0,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Refill all eye wash stations,DONE,MEDIUM,PREVENTIVE,Work with Michael D. to fill stations with disinfectant solution,https://app.getmaintainx.com/workorders/48232430?organizationId=342508,48232430,Daniel Crawford,,,,Daniel Crawford,2025-01-30 14:33:54,2025-03-29 12:00:00,2025-04-01,3:00:00,2025-04-17 13:20:37,2025-04-17 13:20:37,Daniel Crawford,2025-04-17 13:20:37,Monthly|3|1,Hudson NY,2648779,,,,,,Refill eye wash Stations,,0,0,0,,457:20:37,309:40:32,,147:40:05,,,https://app.getmaintainx.com/api/s3/uploads/169333db-7b20-4acb-ae4c-9fe9d2a959ca_Eye_Wash_Station_Map_1.pdf,,,,,,,,false,$0.00,$0.00,1:30:00,$0.00,Refill eye wash station,"Drain station,Rinse station,Have a safety officer add disinfectant solution,Document  adding disinfectant solution,Refill with potable water,Document filling unit",,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Fly light in distro not working,DONE,MEDIUM,REACTIVE,The electrician came and put in an outlet so it can plug it now which is awesome! But it doesn't turn on when plugged in. Would you be able to take a look at it? If it cant be fixed we''l have Meerkat swap it out the next time theyre here,https://app.getmaintainx.com/workorders/48240552?organizationId=342508,48240552,Daniel Crawford,,,2025-01-30 15:09:41,Daniel Crawford,2025-01-30 15:44:02,2025-01-30 00:00:00,2025-02-04,1:00:00,2025-03-18 14:28:30,2025-03-18 14:28:30,Daniel Crawford,2025-03-18 14:28:30,,Hudson NY,2648779,,,,,,,,0,0,0,,1125:44:28,1125:44:28,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Wifi connection issues in Carbon Building,DONE,,REACTIVE,"Multiple people, multiple devices having trouble getting and staying connected to the Hudson Carbon wifi

Requester contact information:
kacey@hudsonhemp.com",https://app.getmaintainx.com/workorders/48662369?organizationId=342508,48662369,Daniel Crawford,,kacey@hudsonhemp.com,2025-02-05 08:24:58,Daniel Crawford,2025-02-05 08:52:54,2025-02-05 00:00:00,2025-02-05,1:00:00,2025-02-05 08:53:34,2025-02-05 08:53:34,Daniel Crawford,2025-02-05 08:53:34,,Hudson NY,2648779,,,,,,,,0,0,0,,0:00:40,0:00:40,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Change Filters (Astoria),OPEN,,PREVENTIVE,Change all of the HVAC filters in the Astoria facility.,https://app.getmaintainx.com/workorders/48668813?organizationId=342508,48668813,Lucas Halaj,,,,Lucas Halaj,2025-02-05 09:40:21,2025-02-27 00:00:00,2025-02-27,1:00:00,,,,2025-02-05 09:40:21,,Astoria,2758032,HVAC Unit #1 (Astoria),8556527,Preventive,,,,,,,,,,,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1906 mop sink has a leak,DONE,,REACTIVE,"sink has a leak and floor is flooded over time, needed to be fixed asap.

Requester contact information:
Mblock@nukafoods.com",https://app.getmaintainx.com/workorders/48941559?organizationId=342508,48941559,Daniel Crawford,,Mblock@nukafoods.com,2025-01-27 07:41:21,Daniel Crawford,2025-02-08 09:11:32,2025-02-08 00:00:00,2025-02-08,1:00:00,2025-02-08 09:11:37,2025-02-08 09:11:37,Daniel Crawford,2025-02-08 09:11:37,,Hudson NY,2648779,,,,,,,,0,0,0,,0:00:05,0:00:05,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Quality Air Testing GMP - Roll Pros,DONE,HIGH,PREVENTIVE,"Work with the Quality department to complete air test for GMP compliance.

TRI Air Testing
Call: 512-887-6838",https://app.getmaintainx.com/workorders/49174922?organizationId=342508,49174922,Daniel Crawford,Processing,,,Daniel Crawford,2025-02-11 13:36:42,2024-11-01 00:00:00,2025-01-02,1:00:00,2025-02-11 13:52:58,2025-02-11 13:52:58,Daniel Crawford,2025-02-11 13:52:58,Yearly|1,General,2648754,RollPros Blackbird 1.0 ID#5,7851683,,TRI Air Testing,737815,,,0,0,0,,0:16:15,0:16:15,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Quality Air Testing GMP - Hefestus,DONE,HIGH,PREVENTIVE,"Work with the Quality department to complete air test for GMP compliance.

TRI Air Testing
Call: 512-887-6838",https://app.getmaintainx.com/workorders/49174972?organizationId=342508,49174972,Daniel Crawford,Processing,,,Daniel Crawford,2025-02-11 13:37:08,2024-11-01 00:00:00,2025-01-02,1:00:00,2025-02-11 13:53:21,2025-02-11 13:53:21,Daniel Crawford,2025-02-11 13:53:21,Yearly|1,Processing,2648780,Hefestus AuraX ID#6,7851673,,TRI Air Testing,737815,,,0,0,0,,0:16:13,0:16:13,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Fix floor boards in upstairs office,DONE,LOW,REACTIVE,"Never noticed this before but it’s starting to lift, there are missing nails in this board :(",https://app.getmaintainx.com/workorders/49242496?organizationId=342508,49242496,Daniel Crawford,,,,Alexandra Harrington,2025-02-12 09:08:48,,2025-02-12,0:30:00,2025-02-12 13:03:17,2025-04-02 08:34:32,Daniel Crawford,2025-04-02 08:34:32,,Farmhouse,2652164,,,Safety,,,Fix floor boards,2376373,0,0,0,,1174:25:43,3:54:29,1170:31:14,,,https://app.getmaintainx.com/api/s3/uploads/9cd71573-c1f3-4aba-a4d8-c140d3dc2c12_IMG_6250.HEIC,https://app.getmaintainx.com/api/s3/uploads/9cd71573-c1f3-4aba-a4d8-c140d3dc2c12_IMG_6250.HEIC,,,,,,,,false,$0.00,$0.00,0,$0.00,Gather supplies,,Find location,,Nails floor board,,,,,,,,,,,,,,,,,,,,,,,,,
45,Rollpros Upgrades,DONE,HIGH,REACTIVE,"Upgrades to the Rollpros Blackbird including:
New Vibe Trays
New Scale System
New Rake and Gate Assembly
New Platen
New Scraper Vacuum Assembly",https://app.getmaintainx.com/workorders/49271000?organizationId=342508,49271000,Daniel Crawford,Processing,,,Daniel Crawford,2025-02-12 13:19:26,2025-02-03 00:00:00,2025-02-14,1:00:00,2025-03-18 14:29:13,2025-03-18 14:29:13,Daniel Crawford,2025-03-18 14:29:13,,General,2648754,RollPros Blackbird 1.0 ID#5,7851683,,RollPros,740445,,,0,0,0,,816:09:46,816:09:46,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Clean Floor Drains,DONE,MEDIUM,PREVENTIVE,,https://app.getmaintainx.com/workorders/49272066?organizationId=342508,49272066,Daniel Crawford,Processing,,,Daniel Crawford,2025-02-12 13:28:48,2025-02-28 00:00:00,2025-03-03,1:00:00,2025-03-26 10:34:06,2025-03-26 10:34:06,Daniel Crawford,2025-03-26 10:34:06,Monthly|3|30,Processing,2648780,Floor Drains,7741260,,,,,,0,0,0,,633:34:07,633:34:07,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,220 outlet Installed in dry room two,OPEN,,REACTIVE,,https://app.getmaintainx.com/workorders/49439056?organizationId=342508,49439056,,,,2025-02-12 10:16:20,Daniel Crawford,2025-02-14 09:42:35,,,1:00:00,,,,2025-02-14 09:42:35,,General,2648754,,,,,,,,,,,,,,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Moving Solvent Cabinet Inside,DONE,,REACTIVE,"Requesting help moving a solvent cabinet inside of the innovation lab building

Requester contact information:
lyoung@hudsonhemp.com",https://app.getmaintainx.com/workorders/49439840?organizationId=342508,49439840,Daniel Crawford,,lyoung@hudsonhemp.com,2025-02-09 23:19:30,Daniel Crawford,2025-02-14 09:49:14,2025-03-13 00:00:00,2025-03-07,1:00:00,2025-02-19 12:56:32,2025-03-18 14:28:50,Daniel Crawford,2025-03-18 14:28:50,,Hudson NY,2648779,,,,,,,,0,0,0,,134:28:48,0,0:46:50,647:45:26,,,,,,,,,,,false,$0.00,$0.00,0:30:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Rattling in Northeast corner of warehouse.,OPEN,,REACTIVE,"Periodic and sounds like the roof?

Requester contact information:
Rosie@hudsonhemp.com",https://app.getmaintainx.com/workorders/49440025?organizationId=342508,49440025,Daniel Crawford,,Rosie@hudsonhemp.com,2025-02-05 13:36:54,Daniel Crawford,2025-02-14 09:50:35,2025-03-03 00:00:00,2025-04-25,1:00:00,,,,2025-04-02 08:39:30,,Hudson NY,2648779,,,,,,,,,,,,,,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Humidifier dry room 1,OPEN,,REACTIVE,"Would like to get a humidifier installed in dry room 1, same as other dry rooms!

Requester contact information:
Brandon@hudsonhemp.com",https://app.getmaintainx.com/workorders/49440124?organizationId=342508,49440124,Daniel Crawford,,Brandon@hudsonhemp.com,2025-02-12 10:11:21,Daniel Crawford,2025-02-14 09:51:22,2025-03-04 00:00:00,2025-05-01,1:00:00,2025-02-14 09:51:39,,,2025-02-14 09:51:42,,General,2648754,,,,,,,,,,,,,3666:09:35,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Air compressor maintenance,ON HOLD,,REACTIVE,We have an air leak on the RollPro machine and not sure if the air compressor is a result of it. The air compressor is showing an error message.,https://app.getmaintainx.com/workorders/49440254?organizationId=342508,49440254,Daniel Crawford,,,2025-02-13 08:03:29,Daniel Crawford,2025-02-14 09:52:31,2025-02-14 00:00:00,2025-03-01,1:00:00,2025-02-19 12:56:24,,,2025-04-02 08:35:55,,Hudson NY,2648779,,,,,,,,,,,,1125:43:23,123:03:53,1002:39:30,2962:33:43,,https://app.getmaintainx.com/api/s3/uploads/9602b45a-2f11-4487-966d-491a4b9c3c45_1000009431.heic,https://app.getmaintainx.com/api/s3/uploads/9602b45a-2f11-4487-966d-491a4b9c3c45_1000009431.heic,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Rolling Wire Shelving Building,DONE,,REACTIVE,Please assemble the wire shelving with rolling bases for Distribution! We greatly need and and will appreciate the help.,https://app.getmaintainx.com/workorders/49687309?organizationId=342508,49687309,Daniel Crawford,,,2025-02-18 08:09:54,Daniel Crawford,2025-02-18 08:49:01,2025-02-19 00:00:00,2025-02-27,1:00:00,2025-02-19 12:56:34,2025-02-19 13:44:29,Daniel Crawford,2025-02-19 13:44:29,,General,2648754,,,,,,,,0,0,0,,13:44:29,12:56:34,0:47:55,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Training on air compressor and SOP,DONE,,REACTIVE,Starting and Stopping the Kaeser Compressor,https://app.getmaintainx.com/workorders/49849725?organizationId=342508,49849725,Daniel Crawford,,,,Daniel Crawford,2025-02-19 14:07:07,2025-02-27 00:00:00,2025-02-20,1:00:00,2025-05-27 09:39:56,2025-05-27 09:39:56,Daniel Crawford,2025-05-27 09:39:56,,Warehouse,2661739,Kaeser Air Center Compressor,7852607,,,,,,0,0,0,,2144:39:56,2144:39:56,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Feb Pest Prevention Fixes - Farmhouse,DONE,,REACTIVE,"1- Fill in gaps between pipe and exterior wall 
2 - Fill in gaps between pipe and floor in closet in Alex's office",https://app.getmaintainx.com/workorders/49924792?organizationId=342508,49924792,Daniel Crawford,,,2025-02-20 09:15:54,Daniel Crawford,2025-02-20 10:25:34,2025-03-03 00:00:00,2025-03-28,1:00:00,2025-03-11 10:20:06,2025-03-17 15:23:36,Daniel Crawford,2025-03-17 15:23:36,,Farmhouse,2652164,,,,,,,,0,0,0,,350:23:36,201:20:07,149:03:29,,,https://app.getmaintainx.com/api/s3/uploads/9efe1f18-2e51-4e8e-90c8-595a3565865b_unnamed.jpg,"https://app.getmaintainx.com/api/s3/uploads/0ccc74bc-0f6c-41f7-b5af-c9f37de13e50_0.jpg,https://app.getmaintainx.com/api/s3/uploads/085ad355-81bd-4147-b837-e8b2690aba45_0.jpg,https://app.getmaintainx.com/api/s3/uploads/9efe1f18-2e51-4e8e-90c8-595a3565865b_unnamed.jpg",,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Feb Pest Prevention Fixes - Extraction,DONE,,REACTIVE,"3 - Fill gap in door in 1906 packaging space
4 - Fill gap in garage door in 1906 packaging space 
5 - Fill gap in garage door in extraction milling area 
6 - Fill gap under door in extraction milling area (doorsweep?)
7,8,9 - Fill gaps under doors in extraction gowning area, electrical closet and behind distillation (doorsweep?)(not pictured, marked on map)
10 -Fill gaps in and under door between main extraction and milling areas

Requester contact information:
Kacey",https://app.getmaintainx.com/workorders/49924875?organizationId=342508,49924875,Daniel Crawford,,Kacey ,2025-02-20 09:20:47,Daniel Crawford,2025-02-20 10:26:12,2025-03-03 00:00:00,2025-03-28,1:00:00,2025-03-11 10:19:28,2025-03-11 10:19:28,Daniel Crawford,2025-03-11 10:19:28,,Extraction,2661746,,,,,,,,0,0,0,,201:19:28,200:02:27,,1:17:01,,https://app.getmaintainx.com/api/s3/uploads/4836f0cb-26d4-428a-9bf4-ce197c47be9a_unnamed.jpg,"https://app.getmaintainx.com/api/s3/uploads/00e616ed-7b44-48a5-986b-c202d830ef5d_0.jpg,https://app.getmaintainx.com/api/s3/uploads/7d149757-e8ef-4e97-bf59-11b7ced2b134_0.jpg,https://app.getmaintainx.com/api/s3/uploads/3211ebdb-0b1a-41d7-af24-98e1381ce41e_0.jpg,https://app.getmaintainx.com/api/s3/uploads/7112de33-f6c0-4c83-a5c7-db04289324f3_0.jpg,https://app.getmaintainx.com/api/s3/uploads/0f605857-a3d1-47dc-a50f-8d3e5f5e05c0_0.jpg,https://app.getmaintainx.com/api/s3/uploads/5c078ff4-06a0-43d9-8ef4-55da5f8ffadf_0.jpg,https://app.getmaintainx.com/api/s3/uploads/4836f0cb-26d4-428a-9bf4-ce197c47be9a_unnamed.jpg",,,,,,,,false,$0.00,$0.00,0:20:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Feb Pest Prevention Fixes - Processing,DONE,,REACTIVE,"12 - Fill gaps in floor around break room door

Requester contact information:
Kacey",https://app.getmaintainx.com/workorders/49925121?organizationId=342508,49925121,Daniel Crawford,,Kacey ,2025-02-20 09:23:43,Daniel Crawford,2025-02-20 10:28:18,2025-03-03 00:00:00,2025-03-28,1:00:00,2025-03-11 10:19:57,2025-03-11 10:19:57,Daniel Crawford,2025-03-11 10:19:57,,Processing,2648780,,,,,,,,0,0,0,,201:19:56,198:31:01,,2:48:55,,https://app.getmaintainx.com/api/s3/uploads/d89ce6b4-3d29-407a-a38e-b775f76ed9e6_unnamed.jpg,"https://app.getmaintainx.com/api/s3/uploads/4e174439-2567-450f-8e2d-4bfc7e6ac756_0.jpg,https://app.getmaintainx.com/api/s3/uploads/d89ce6b4-3d29-407a-a38e-b775f76ed9e6_unnamed.jpg",,,,,,,,false,$0.00,$0.00,0:15:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Feb Pest Prevention Fixes - Distribution,DONE,,REACTIVE,"11 - Fill gaps in doorway and garage door

Requester contact information:
Kacey",https://app.getmaintainx.com/workorders/49925201?organizationId=342508,49925201,Daniel Crawford,,Kacey,2025-02-20 09:22:38,Daniel Crawford,2025-02-20 10:29:11,2025-03-03 00:00:00,2025-03-28,1:00:00,2025-03-11 10:20:04,2025-03-17 15:23:33,Daniel Crawford,2025-03-17 15:23:33,,Distribution,2661747,,,,,,,,0,0,0,,350:23:33,201:20:05,1:04:51,147:58:37,,https://app.getmaintainx.com/api/s3/uploads/bf001f4b-753a-4e02-9c48-ce3cb2c8ea70_unnamed.jpg,"https://app.getmaintainx.com/api/s3/uploads/246e1c53-2eaf-47f2-9ce8-53618e2ee2ee_0.jpg,https://app.getmaintainx.com/api/s3/uploads/39c488aa-5398-499c-8ae8-e2c0e6be2473_0.jpg,https://app.getmaintainx.com/api/s3/uploads/bf001f4b-753a-4e02-9c48-ce3cb2c8ea70_unnamed.jpg",,,,,,,,false,$0.00,$0.00,0:10:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Daily Cleaning,DONE,LOW,PREVENTIVE,,https://app.getmaintainx.com/workorders/50418882?organizationId=342508,50418882,"Sergio (Rico Suave) Diniz,Daniel Crawford",,,,Sergio (Rico Suave) Diniz,2025-02-26 13:08:47,2025-02-26 08:00:00,2025-02-26 18:00:00,1:00:00,2025-02-26 13:22:07,2025-02-26 13:23:17,Sergio (Rico Suave) Diniz,2025-02-26 13:23:17,Weekly|1|Monday|Tuesday|Wednesday|Thursday|Friday,General,2648754,RollPros Blackbird 1.0 ID#5,7851683,Preventive,,,Daily Cleaning Machine,2425018,3,0,0,,0:14:29,0:13:19,0:01:10,,,,,"This procedure outlines the daily cleaning routine for the RollPros Blackbird 1.0 machine, ensuring it is properly maintained and ready for use. It includes pre-cleaning inspection, cleaning process, post-cleaning inspection, and final steps to ensure the machine is in optimal condition.",,,,,,,false,$0.00,$0.00,0,$0.00,Asset Information: RollPros Blackbird 1.0,,Pre-Cleaning Inspection,,Check that all the parts are in place,"Hopper,Conveyor Belt,Blades",Is the machine turned off and unplugged?,Yes,Cleaning Process,,Wipe down the exterior surfaces with a damp cloth,X,Clean the hopper thoroughly,PASS,Remove and clean the blades,PASS,Vacuum the conveyor belt to remove debris,PASS,Post-Cleaning Inspection,,Is the machine dry and free of cleaning residue?,Yes,Ensure all parts are reassembled correctly,"Hopper,Conveyor Belt,Blades",Final Steps,,Plug the machine back in,X,Technician's signature,"Sergio (Rico Suave) Diniz,2025-02-26 13:23:13,https://app.getmaintainx.com/api/s3/uploads/4ad6ba7a-9843-4678-ad67-0bccabfa63b4_desktop-signature-1740594192914.png"
62,Processing Wall,DONE,HIGH,REACTIVE,"Needs to be cleaned before the audit March 19

Requester contact information:
kacey@hudsonhemp.com",https://app.getmaintainx.com/workorders/51074590?organizationId=342508,51074590,Daniel Crawford,,kacey@hudsonhemp.com,2025-03-05 13:48:41,Daniel Crawford,2025-03-05 13:57:04,2025-03-05 00:00:00,2025-03-15,1:00:00,2025-03-10 08:52:51,2025-03-31 10:58:14,Daniel Crawford,2025-03-31 10:58:14,,Hudson NY,2648779,,,,,,,,0,0,0,,620:01:09,113:55:47,506:05:22,,,https://app.getmaintainx.com/api/s3/uploads/3b1cde69-9754-41e6-b8f8-67a9c049c8c4_unnamed.jpg,https://app.getmaintainx.com/api/s3/uploads/3b1cde69-9754-41e6-b8f8-67a9c049c8c4_unnamed.jpg,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,MX TEST WORK ORDER,DONE,,REACTIVE,,https://app.getmaintainx.com/workorders/51162260?organizationId=342508,51162260,James Fitzpatrick,,,,James Fitzpatrick,2025-03-06 11:21:36,,2025-03-06,1:00:00,2025-03-06 11:24:42,2025-03-06 11:26:23,James Fitzpatrick,2025-03-06 11:26:23,,,,,,,,,Daily Cleaning Machine,2425018,2,1,0,,0:04:47,0:03:06,0:01:41,,,,,"This procedure outlines the daily cleaning routine for the RollPros Blackbird 1.0 machine, ensuring it is properly maintained and ready for use. It includes pre-cleaning inspection, cleaning process, post-cleaning inspection, and final steps to ensure the machine is in optimal condition.",,,,,,,false,$0.00,$0.00,0,$0.00,Asset Information: RollPros Blackbird 1.0,,Pre-Cleaning Inspection,,Check that all the parts are in place,Hopper,Is the machine turned off and unplugged?,Yes,Cleaning Process,,Wipe down the exterior surfaces with a damp cloth,X,Clean the hopper thoroughly,PASS,Remove and clean the blades,FLAG,Vacuum the conveyor belt to remove debris,PASS,Post-Cleaning Inspection,,Is the machine dry and free of cleaning residue?,Yes,Ensure all parts are reassembled correctly,Hopper,Final Steps,,Plug the machine back in,X,Technician's signature,"James Fitzpatrick,2025-03-06 11:26:06,https://app.getmaintainx.com/api/s3/uploads/4b1c33bc-ea0b-4fc4-8b95-09c656b1bda3_desktop-signature-1741278365663.png"
64,Eye Wash station in Extraction,DONE,,REACTIVE,"Eye wash station in extraction by door to distillation is not functional. They pull the cord for water and it leaks out the bottom. If this cant be repaired we need to get a wall unit for them ASAP

Requester contact information:
Kacey@hudsonhemp.com",https://app.getmaintainx.com/workorders/51167108?organizationId=342508,51167108,Daniel Crawford,,Kacey@hudsonhemp.com,2025-03-05 09:45:43,Daniel Crawford,2025-03-06 12:04:35,2025-03-06 00:00:00,2025-04-01,1:00:00,2025-03-10 08:52:16,2025-05-27 09:40:04,Daniel Crawford,2025-05-27 09:40:04,,Hudson NY,2648779,,,,,,,,0,0,0,,1964:35:26,91:47:41,1872:47:45,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"hairnet, shoe cover, and beard cover dispenser rehung",DONE,,REACTIVE,in the 1906/ hash lab gowning room the dispenser fell off the wall again. Just needs to be remounted please and thank you.,https://app.getmaintainx.com/workorders/51167988?organizationId=342508,51167988,Daniel Crawford,,,2025-03-06 12:11:48,Daniel Crawford,2025-03-06 12:12:27,2025-03-07 00:00:00,2025-03-06,1:00:00,2025-03-18 14:28:55,2025-03-18 14:28:55,Daniel Crawford,2025-03-18 14:28:55,,Hudson NY,2648779,,,,,,,,0,0,0,,277:28:55,16:40:02,,260:48:53,,,,,,,,,,,false,$0.00,$0.00,0:15:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Paper towel dispenser installed in processing bathrooms,DONE,,REACTIVE,"Have 2 paper towel dispensers to be installed in both bathrooms in processing warehouse.

Requester contact information:
Kelly@hudsonhemp.com",https://app.getmaintainx.com/workorders/51202998?organizationId=342508,51202998,Daniel Crawford,,Kelly@hudsonhemp.com,2025-03-06 14:50:07,Daniel Crawford,2025-03-06 16:09:07,2025-03-10 00:00:00,2025-03-30,1:00:00,2025-03-10 08:49:42,2025-03-10 08:49:42,Daniel Crawford,2025-03-10 08:49:42,,Hudson NY,2648779,,,,,,,,0,0,0,,8:49:43,8:49:43,,,,https://app.getmaintainx.com/api/s3/uploads/8a6de73f-6275-4df8-926d-cdf93ab85f42_image.jpg,"https://app.getmaintainx.com/api/s3/uploads/15e05524-f500-4301-81b9-63006c1b416f_image.jpg,https://app.getmaintainx.com/api/s3/uploads/4f74d646-72d6-47b8-a007-1413ec3979eb_image.jpg,https://app.getmaintainx.com/api/s3/uploads/8a6de73f-6275-4df8-926d-cdf93ab85f42_image.jpg",,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Change all Willow Air Filters in Processing Filters,DONE,,PREVENTIVE,Air purifiers in Processing need new filters (2 purifiers in room),https://app.getmaintainx.com/workorders/51203109?organizationId=342508,51203109,Daniel Crawford,,kacey@hudsonhemp.com,2025-03-06 15:25:13,Daniel Crawford,2025-03-06 16:10:16,2025-03-07 00:00:00,2025-03-11,1:00:00,2025-03-11 10:19:44,2025-03-11 10:19:44,Daniel Crawford,2025-03-11 10:19:44,MonthlyByWeekday|1|Second_Fri,Processing,2648780,Willow Air,7741256,,,,,,0,0,0,,105:19:44,80:02:31,,25:17:13,,,,,,,,,,,false,$0.00,$0.00,0:05:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Change all filters in  Hash Lab Willow Air Units,DONE,,PREVENTIVE,Please replace all filters in Hash Lab! Theyre lookin quite green,https://app.getmaintainx.com/workorders/51203170?organizationId=342508,51203170,Daniel Crawford,,kacey@hudsonhemp.com,2025-03-06 15:24:15,Daniel Crawford,2025-03-06 16:10:56,2025-03-07 00:00:00,2025-03-11,1:00:00,2025-03-11 10:19:40,2025-03-11 10:19:40,Daniel Crawford,2025-03-11 10:19:40,MonthlyByWeekday|1|Second_Fri,Hash Lab,2661286,Willows Air Hash Lab,7738793,,,,,,0,0,0,,105:19:40,79:59:16,,25:20:24,,,,,,,,,,,false,$0.00,$0.00,0:05:00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,hot water in 1906/ hash lab bathroom,DONE,LOW,REACTIVE,there's a weird smell coming from the hot water in the 1906/ hash lab bathroom. Can we please take a look and make sure this is normal? None of us remember the bathroom water smelling like this when running hot. Thanks.,https://app.getmaintainx.com/workorders/51244213?organizationId=342508,51244213,Daniel Crawford,,,2025-03-07 06:24:34,Daniel Crawford,2025-03-07 07:25:50,2025-03-04 00:00:00,2025-03-14,1:00:00,2025-03-26 10:38:10,2025-03-26 10:38:10,Daniel Crawford,2025-03-26 10:38:10,,Hudson NY,2648779,,,,,,,,0,0,0,,458:12:20,458:12:20,,,,,,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Fix leak in cleaning room,DONE,MEDIUM,REACTIVE,Leak from the sink in the new cleaning room,https://app.getmaintainx.com/workorders/51320017?organizationId=342508,51320017,"Daniel Crawford,Alexandra Harrington",Processing,,,Alexandra Harrington,2025-03-07 13:59:17,,,1:00:00,2025-04-29 09:55:04,2025-04-29 09:55:04,Daniel Crawford,2025-04-29 09:55:04,,Processing,2648780,,,Mechanical,,,,,0,0,0,,1266:55:47,1266:55:47,,,,https://app.getmaintainx.com/api/s3/uploads/13f19fb0-060c-4d74-9e90-ae61d7be6e09_IMG_6462.HEIC,https://app.getmaintainx.com/api/s3/uploads/13f19fb0-060c-4d74-9e90-ae61d7be6e09_IMG_6462.HEIC,,,,,,,,false,$0.00,$0.00,0,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
